,0
0,0.0
1,1.162466288477634e-09
2,2.324932576955268e-09
3,3.487398865432902e-09
4,4.649865153910536e-09
5,5.812331442388171e-09
6,6.974797730865805e-09
7,8.137264019343438e-09
8,9.299730307821073e-09
9,1.0462196596298707e-08
10,1.1624662884776341e-08
11,1.2787129173253976e-08
12,1.394959546173161e-08
13,1.5112061750209243e-08
14,1.6274528038686877e-08
15,1.743699432716451e-08
16,1.8599460615642145e-08
17,1.976192690411978e-08
18,2.0924393192597414e-08
19,2.2086859481075048e-08
20,2.3249325769552683e-08
21,2.4411792058030317e-08
22,2.557425834650795e-08
23,2.6736724634985585e-08
24,2.789919092346322e-08
25,2.9061657211940854e-08
26,3.0224123500418485e-08
27,3.138658978889612e-08
28,3.2549056077373754e-08
29,3.371152236585139e-08
30,3.487398865432902e-08
31,3.6036454942806657e-08
32,3.719892123128429e-08
33,3.8361387519761925e-08
34,3.952385380823956e-08
35,4.0686320096717194e-08
36,4.184878638519483e-08
37,4.301125267367246e-08
38,4.4173718962150097e-08
39,4.533618525062773e-08
40,4.6498651539105365e-08
41,4.7661117827583e-08
42,4.8823584116060634e-08
43,4.998605040453827e-08
44,5.11485166930159e-08
45,5.231098298149354e-08
46,5.347344926997117e-08
47,5.4635915558448805e-08
48,5.579838184692644e-08
49,5.6960848135404074e-08
50,5.812331442388171e-08
51,5.928578071235934e-08
52,6.044824700083697e-08
53,6.16107132893146e-08
54,6.277317957779223e-08
55,6.393564586626985e-08
56,6.509811215474748e-08
57,6.626057844322511e-08
58,6.742304473170274e-08
59,6.858551102018036e-08
60,6.974797730865799e-08
61,7.091044359713562e-08
62,7.207290988561325e-08
63,7.323537617409087e-08
64,7.43978424625685e-08
65,7.556030875104613e-08
66,7.672277503952376e-08
67,7.788524132800139e-08
68,7.904770761647901e-08
69,8.021017390495664e-08
70,8.137264019343427e-08
71,8.25351064819119e-08
72,8.369757277038952e-08
73,8.486003905886715e-08
74,8.602250534734478e-08
75,8.718497163582241e-08
76,8.834743792430003e-08
77,8.950990421277766e-08
78,9.067237050125529e-08
79,9.183483678973292e-08
80,9.299730307821055e-08
81,9.415976936668817e-08
82,9.53222356551658e-08
83,9.648470194364343e-08
84,9.764716823212106e-08
85,9.880963452059868e-08
86,9.997210080907631e-08
87,1.0113456709755394e-07
88,1.0229703338603157e-07
89,1.034594996745092e-07
90,1.0462196596298682e-07
91,1.0578443225146445e-07
92,1.0694689853994208e-07
93,1.081093648284197e-07
94,1.0927183111689733e-07
95,1.1043429740537496e-07
96,1.1159676369385259e-07
97,1.1275922998233022e-07
98,1.1392169627080784e-07
99,1.1508416255928547e-07
100,1.162466288477631e-07
101,1.1740909513624073e-07
102,1.1857156142471835e-07
103,1.19734027713196e-07
104,1.2089649400167362e-07
105,1.2205896029015125e-07
106,1.2322142657862888e-07
107,1.243838928671065e-07
108,1.2554635915558413e-07
109,1.2670882544406176e-07
110,1.278712917325394e-07
111,1.2903375802101702e-07
112,1.3019622430949464e-07
113,1.3135869059797227e-07
114,1.325211568864499e-07
115,1.3368362317492753e-07
116,1.3484608946340515e-07
117,1.3600855575188278e-07
118,1.371710220403604e-07
119,1.3833348832883804e-07
120,1.3949595461731567e-07
121,1.406584209057933e-07
122,1.4182088719427092e-07
123,1.4298335348274855e-07
124,1.4414581977122618e-07
125,1.453082860597038e-07
126,1.4647075234818143e-07
127,1.4763321863665906e-07
128,1.487956849251367e-07
129,1.4995815121361431e-07
130,1.5112061750209194e-07
131,1.5228308379056957e-07
132,1.534455500790472e-07
133,1.5460801636752483e-07
134,1.5577048265600245e-07
135,1.5693294894448008e-07
136,1.580954152329577e-07
137,1.5925788152143534e-07
138,1.6042034780991296e-07
139,1.615828140983906e-07
140,1.6274528038686822e-07
141,1.6390774667534585e-07
142,1.6507021296382347e-07
143,1.662326792523011e-07
144,1.6739514554077873e-07
145,1.6855761182925636e-07
146,1.6972007811773399e-07
147,1.708825444062116e-07
148,1.7204501069468924e-07
149,1.7320747698316687e-07
150,1.743699432716445e-07
151,1.7553240956012212e-07
152,1.7669487584859975e-07
153,1.7785734213707738e-07
154,1.79019808425555e-07
155,1.8018227471403263e-07
156,1.8134474100251026e-07
157,1.825072072909879e-07
158,1.8366967357946552e-07
159,1.8483213986794314e-07
160,1.8599460615642077e-07
161,1.871570724448984e-07
162,1.8831953873337603e-07
163,1.8948200502185366e-07
164,1.9064447131033128e-07
165,1.918069375988089e-07
166,1.9296940388728654e-07
167,1.9413187017576417e-07
168,1.952943364642418e-07
169,1.9645680275271942e-07
170,1.9761926904119705e-07
171,1.9878173532967468e-07
172,1.999442016181523e-07
173,2.0110666790662993e-07
174,2.0226913419510756e-07
175,2.034316004835852e-07
176,2.0459406677206282e-07
177,2.0575653306054044e-07
178,2.0691899934901807e-07
179,2.080814656374957e-07
180,2.0924393192597333e-07
181,2.1040639821445095e-07
182,2.1156886450292858e-07
183,2.127313307914062e-07
184,2.1389379707988384e-07
185,2.1505626336836146e-07
186,2.162187296568391e-07
187,2.1738119594531672e-07
188,2.1854366223379435e-07
189,2.1970612852227198e-07
190,2.208685948107496e-07
191,2.2203106109922723e-07
192,2.2319352738770486e-07
193,2.2435599367618249e-07
194,2.2551845996466011e-07
195,2.2668092625313774e-07
196,2.2784339254161537e-07
197,2.29005858830093e-07
198,2.3016832511857062e-07
199,2.3133079140704825e-07
200,2.3249325769552588e-07
201,2.336557239840035e-07
202,2.3481819027248114e-07
203,2.3598065656095876e-07
204,2.371431228494364e-07
205,2.3830558913791402e-07
206,2.3946805542639167e-07
207,2.4063052171486933e-07
208,2.41792988003347e-07
209,2.4295545429182463e-07
210,2.441179205803023e-07
211,2.4528038686877994e-07
212,2.464428531572576e-07
213,2.4760531944573525e-07
214,2.487677857342129e-07
215,2.4993025202269056e-07
216,2.510927183111682e-07
217,2.5225518459964587e-07
218,2.534176508881235e-07
219,2.545801171766012e-07
220,2.5574258346507883e-07
221,2.569050497535565e-07
222,2.5806751604203414e-07
223,2.592299823305118e-07
224,2.6039244861898945e-07
225,2.615549149074671e-07
226,2.6271738119594476e-07
227,2.638798474844224e-07
228,2.6504231377290006e-07
229,2.662047800613777e-07
230,2.6736724634985537e-07
231,2.68529712638333e-07
232,2.696921789268107e-07
233,2.7085464521528833e-07
234,2.72017111503766e-07
235,2.7317957779224364e-07
236,2.743420440807213e-07
237,2.7550451036919895e-07
238,2.766669766576766e-07
239,2.7782944294615426e-07
240,2.789919092346319e-07
241,2.8015437552310957e-07
242,2.813168418115872e-07
243,2.824793081000649e-07
244,2.8364177438854253e-07
245,2.848042406770202e-07
246,2.8596670696549784e-07
247,2.871291732539755e-07
248,2.8829163954245315e-07
249,2.894541058309308e-07
250,2.9061657211940845e-07
251,2.917790384078861e-07
252,2.9294150469636376e-07
253,2.941039709848414e-07
254,2.9526643727331907e-07
255,2.964289035617967e-07
256,2.975913698502744e-07
257,2.9875383613875203e-07
258,2.999163024272297e-07
259,3.0107876871570734e-07
260,3.02241235004185e-07
261,3.0340370129266265e-07
262,3.045661675811403e-07
263,3.0572863386961796e-07
264,3.068911001580956e-07
265,3.0805356644657327e-07
266,3.092160327350509e-07
267,3.103784990235286e-07
268,3.1154096531200623e-07
269,3.127034316004839e-07
270,3.1386589788896154e-07
271,3.150283641774392e-07
272,3.1619083046591685e-07
273,3.173532967543945e-07
274,3.1851576304287215e-07
275,3.196782293313498e-07
276,3.2084069561982746e-07
277,3.220031619083051e-07
278,3.2316562819678277e-07
279,3.243280944852604e-07
280,3.254905607737381e-07
281,3.2665302706221573e-07
282,3.278154933506934e-07
283,3.2897795963917104e-07
284,3.301404259276487e-07
285,3.3130289221612635e-07
286,3.32465358504604e-07
287,3.3362782479308166e-07
288,3.347902910815593e-07
289,3.3595275737003697e-07
290,3.371152236585146e-07
291,3.382776899469923e-07
292,3.3944015623546993e-07
293,3.406026225239476e-07
294,3.4176508881242524e-07
295,3.429275551009029e-07
296,3.4409002138938055e-07
297,3.452524876778582e-07
298,3.4641495396633585e-07
299,3.475774202548135e-07
300,3.4873988654329116e-07
301,3.499023528317688e-07
302,3.5106481912024647e-07
303,3.522272854087241e-07
304,3.533897516972018e-07
305,3.5455221798567943e-07
306,3.557146842741571e-07
307,3.5687715056263474e-07
308,3.580396168511124e-07
309,3.5920208313959005e-07
310,3.603645494280677e-07
311,3.6152701571654536e-07
312,3.62689482005023e-07
313,3.6385194829350067e-07
314,3.650144145819783e-07
315,3.66176880870456e-07
316,3.6733934715893363e-07
317,3.685018134474113e-07
318,3.6966427973588894e-07
319,3.708267460243666e-07
320,3.7198921231284425e-07
321,3.731516786013219e-07
322,3.7431414488979955e-07
323,3.754766111782772e-07
324,3.7663907746675486e-07
325,3.778015437552325e-07
326,3.7896401004371017e-07
327,3.801264763321878e-07
328,3.812889426206655e-07
329,3.8245140890914313e-07
330,3.836138751976208e-07
331,3.8477634148609844e-07
332,3.859388077745761e-07
333,3.8710127406305375e-07
334,3.882637403515314e-07
335,3.8942620664000906e-07
336,3.905886729284867e-07
337,3.9175113921696437e-07
338,3.92913605505442e-07
339,3.940760717939197e-07
340,3.9523853808239733e-07
341,3.96401004370875e-07
342,3.9756347065935264e-07
343,3.987259369478303e-07
344,3.9988840323630794e-07
345,4.010508695247856e-07
346,4.0221333581326325e-07
347,4.033758021017409e-07
348,4.0453826839021856e-07
349,4.057007346786962e-07
350,4.0686320096717387e-07
351,4.080256672556515e-07
352,4.091881335441292e-07
353,4.1035059983260683e-07
354,4.115130661210845e-07
