,0
0,0.0
1,4.649865153910536e-09
2,9.299730307821073e-09
3,1.3949595461731608e-08
4,1.8599460615642145e-08
5,2.3249325769552683e-08
6,2.789919092346322e-08
7,3.2549056077373754e-08
8,3.719892123128429e-08
9,4.184878638519483e-08
10,4.6498651539105365e-08
11,5.11485166930159e-08
12,5.579838184692644e-08
13,6.044824700083697e-08
14,6.509811215474751e-08
15,6.974797730865804e-08
16,7.439784246256858e-08
17,7.904770761647912e-08
18,8.369757277038966e-08
19,8.834743792430019e-08
20,9.299730307821073e-08
21,9.764716823212127e-08
22,1.022970333860318e-07
23,1.0694689853994234e-07
24,1.1159676369385288e-07
25,1.1624662884776342e-07
26,1.2089649400167394e-07
27,1.2554635915558448e-07
28,1.3019622430949501e-07
29,1.3484608946340555e-07
30,1.394959546173161e-07
31,1.4414581977122663e-07
32,1.4879568492513716e-07
33,1.534455500790477e-07
34,1.5809541523295824e-07
35,1.6274528038686877e-07
36,1.673951455407793e-07
37,1.7204501069468985e-07
38,1.7669487584860039e-07
39,1.8134474100251092e-07
40,1.8599460615642146e-07
41,1.90644471310332e-07
42,1.9529433646424254e-07
43,1.9994420161815307e-07
44,2.045940667720636e-07
45,2.0924393192597415e-07
46,2.1389379707988468e-07
47,2.1854366223379522e-07
48,2.2319352738770576e-07
49,2.278433925416163e-07
50,2.3249325769552683e-07
51,2.3714312284943737e-07
52,2.417929880033479e-07
53,2.464428531572584e-07
54,2.510927183111689e-07
55,2.557425834650794e-07
56,2.603924486189899e-07
57,2.6504231377290043e-07
58,2.6969217892681094e-07
59,2.7434204408072146e-07
60,2.7899190923463197e-07
61,2.836417743885425e-07
62,2.88291639542453e-07
63,2.929415046963635e-07
64,2.97591369850274e-07
65,3.022412350041845e-07
66,3.0689110015809503e-07
67,3.1154096531200554e-07
68,3.1619083046591605e-07
69,3.2084069561982656e-07
70,3.2549056077373707e-07
71,3.301404259276476e-07
72,3.347902910815581e-07
73,3.394401562354686e-07
74,3.440900213893791e-07
75,3.4873988654328963e-07
76,3.5338975169720014e-07
77,3.5803961685111065e-07
78,3.6268948200502116e-07
79,3.6733934715893167e-07
80,3.719892123128422e-07
81,3.766390774667527e-07
82,3.812889426206632e-07
83,3.859388077745737e-07
84,3.905886729284842e-07
85,3.9523853808239473e-07
86,3.9988840323630524e-07
87,4.0453826839021576e-07
88,4.0918813354412627e-07
89,4.138379986980368e-07
90,4.184878638519473e-07
91,4.231377290058578e-07
92,4.277875941597683e-07
93,4.324374593136788e-07
94,4.3708732446758933e-07
95,4.4173718962149984e-07
96,4.4638705477541035e-07
97,4.5103691992932086e-07
98,4.5568678508323137e-07
99,4.603366502371419e-07
100,4.649865153910524e-07
101,4.696363805449629e-07
102,4.742862456988734e-07
103,4.78936110852784e-07
104,4.835859760066945e-07
105,4.88235841160605e-07
106,4.928857063145155e-07
107,4.97535571468426e-07
108,5.021854366223365e-07
109,5.06835301776247e-07
110,5.114851669301576e-07
111,5.161350320840681e-07
112,5.207848972379786e-07
113,5.254347623918891e-07
114,5.300846275457996e-07
115,5.347344926997101e-07
116,5.393843578536206e-07
117,5.440342230075311e-07
118,5.486840881614416e-07
119,5.533339533153522e-07
120,5.579838184692627e-07
121,5.626336836231732e-07
122,5.672835487770837e-07
123,5.719334139309942e-07
124,5.765832790849047e-07
125,5.812331442388152e-07
126,5.858830093927257e-07
127,5.905328745466362e-07
128,5.951827397005467e-07
129,5.998326048544573e-07
130,6.044824700083678e-07
131,6.091323351622783e-07
132,6.137822003161888e-07
133,6.184320654700993e-07
134,6.230819306240098e-07
135,6.277317957779203e-07
136,6.323816609318308e-07
137,6.370315260857413e-07
138,6.416813912396519e-07
139,6.463312563935624e-07
140,6.509811215474729e-07
141,6.556309867013834e-07
142,6.602808518552939e-07
143,6.649307170092044e-07
144,6.695805821631149e-07
145,6.742304473170254e-07
146,6.788803124709359e-07
147,6.835301776248465e-07
148,6.88180042778757e-07
149,6.928299079326675e-07
150,6.97479773086578e-07
151,7.021296382404885e-07
152,7.06779503394399e-07
153,7.114293685483095e-07
154,7.1607923370222e-07
155,7.207290988561305e-07
156,7.25378964010041e-07
157,7.300288291639516e-07
158,7.346786943178621e-07
159,7.393285594717726e-07
160,7.439784246256831e-07
161,7.486282897795936e-07
162,7.532781549335041e-07
163,7.579280200874146e-07
164,7.625778852413251e-07
165,7.672277503952356e-07
166,7.718776155491462e-07
167,7.765274807030567e-07
168,7.811773458569672e-07
169,7.858272110108777e-07
170,7.904770761647882e-07
171,7.951269413186987e-07
172,7.997768064726092e-07
173,8.044266716265197e-07
174,8.090765367804302e-07
175,8.137264019343408e-07
176,8.183762670882513e-07
177,8.230261322421618e-07
178,8.276759973960723e-07
179,8.323258625499828e-07
180,8.369757277038933e-07
181,8.416255928578038e-07
182,8.462754580117143e-07
183,8.509253231656248e-07
184,8.555751883195353e-07
185,8.602250534734459e-07
186,8.648749186273564e-07
187,8.695247837812669e-07
188,8.741746489351774e-07
189,8.788245140890879e-07
190,8.834743792429984e-07
191,8.881242443969089e-07
192,8.927741095508194e-07
193,8.974239747047299e-07
194,9.020738398586405e-07
195,9.06723705012551e-07
196,9.113735701664615e-07
197,9.16023435320372e-07
198,9.206733004742825e-07
199,9.25323165628193e-07
200,9.299730307821035e-07
201,9.34622895936014e-07
202,9.392727610899245e-07
203,9.43922626243835e-07
204,9.485724913977456e-07
205,9.532223565516561e-07
206,9.578722217055667e-07
207,9.625220868594773e-07
208,9.67171952013388e-07
209,9.718218171672985e-07
210,9.764716823212092e-07
211,9.811215474751198e-07
212,9.857714126290304e-07
213,9.90421277782941e-07
214,9.950711429368516e-07
215,9.997210080907622e-07
216,1.0043708732446729e-06
217,1.0090207383985835e-06
218,1.013670603552494e-06
219,1.0183204687064047e-06
220,1.0229703338603153e-06
221,1.027620199014226e-06
222,1.0322700641681366e-06
223,1.0369199293220472e-06
224,1.0415697944759578e-06
225,1.0462196596298684e-06
226,1.050869524783779e-06
227,1.0555193899376896e-06
228,1.0601692550916003e-06
229,1.0648191202455109e-06
