y,vals
0.0,0.0
25.0,500.0
50.0,1000.0
75.0,1500.0
100.0,2000.0
125.0,2500.0
150.0,3000.0
175.0,3500.0
200.0,4000.0
225.0,4500.0
250.0,5000.0
