0.000,0.098,0.720,0.142,0.000,0.020
0.000,0.132,0.686,0.136,0.000,0.027
0.000,0.170,0.647,0.129,0.000,0.035
0.000,0.211,0.605,0.121,0.000,0.043
0.000,0.253,0.561,0.113,0.000,0.052
0.001,0.295,0.514,0.107,0.001,0.062
0.003,0.335,0.466,0.101,0.002,0.072
0.007,0.372,0.418,0.096,0.004,0.083
0.012,0.403,0.371,0.093,0.007,0.094
0.020,0.428,0.324,0.091,0.011,0.105
0.029,0.445,0.280,0.091,0.016,0.117
0.041,0.453,0.239,0.093,0.022,0.131
0.055,0.453,0.200,0.097,0.030,0.144
0.070,0.444,0.166,0.102,0.037,0.159
0.086,0.426,0.135,0.110,0.046,0.176
0.102,0.402,0.107,0.119,0.054,0.193
0.117,0.371,0.084,0.130,0.062,0.213
0.131,0.336,0.064,0.143,0.069,0.234
0.142,0.298,0.048,0.157,0.075,0.257
0.150,0.259,0.035,0.171,0.079,0.283
0.154,0.219,0.025,0.186,0.081,0.311
0.154,0.181,0.017,0.201,0.082,0.341
0.150,0.146,0.011,0.214,0.080,0.374
0.143,0.114,0.007,0.225,0.076,0.410
0.132,0.086,0.004,0.233,0.071,0.448
0.119,0.063,0.002,0.238,0.064,0.489
0.104,0.044,0.001,0.238,0.056,0.531
0.088,0.029,0.001,0.233,0.048,0.575
0.072,0.018,0.000,0.223,0.040,0.620
0.057,0.010,0.000,0.209,0.032,0.666
0.043,0.005,0.000,0.190,0.025,0.711
0.031,0.002,0.000,0.167,0.018,0.755
0.021,0.001,0.000,0.142,0.013,0.797
0.013,0.000,0.000,0.115,0.009,0.836
0.008,0.000,0.000,0.088,0.006,0.872
0.004,0.000,0.000,0.062,0.003,0.904
0.002,0.001,0.000,0.039,0.002,0.930
0.001,0.001,0.000,0.021,0.001,0.950
0.000,0.001,0.000,0.007,0.001,0.964
0.000,0.001,0.000,0.001,0.000,0.971
0.000,0.001,0.000,0.001,0.000,0.971
0.000,0.001,0.000,0.008,0.000,0.964
0.000,0.001,0.000,0.021,0.000,0.950
0.000,0.002,0.000,0.041,0.000,0.930
0.001,0.002,0.000,0.066,0.001,0.903
0.003,0.002,0.000,0.094,0.002,0.871
0.007,0.003,0.000,0.125,0.004,0.833
0.012,0.005,0.001,0.157,0.007,0.792
0.019,0.007,0.001,0.187,0.011,0.748
0.029,0.010,0.001,0.215,0.016,0.702
0.040,0.015,0.002,0.239,0.022,0.654
0.054,0.022,0.002,0.259,0.030,0.606
0.068,0.032,0.003,0.273,0.037,0.558
0.084,0.045,0.005,0.282,0.046,0.511
0.100,0.061,0.007,0.285,0.054,0.466
0.115,0.080,0.010,0.282,0.062,0.423
0.128,0.104,0.014,0.275,0.069,0.382
0.139,0.131,0.019,0.263,0.075,0.344
0.147,0.162,0.026,0.248,0.079,0.309
0.151,0.196,0.035,0.230,0.081,0.277
0.152,0.231,0.047,0.212,0.082,0.247
0.148,0.268,0.061,0.193,0.080,0.221
0.141,0.304,0.078,0.174,0.076,0.197
0.131,0.338,0.098,0.156,0.071,0.176
0.118,0.368,0.122,0.139,0.065,0.157
0.103,0.394,0.150,0.125,0.057,0.140
0.087,0.414,0.182,0.112,0.049,0.125
0.072,0.427,0.217,0.101,0.041,0.111
0.056,0.432,0.256,0.093,0.033,0.099
0.043,0.428,0.298,0.086,0.025,0.088
0.031,0.416,0.343,0.081,0.019,0.078
0.021,0.396,0.390,0.078,0.014,0.068
0.013,0.369,0.438,0.077,0.009,0.060
0.008,0.337,0.487,0.077,0.006,0.052
0.004,0.299,0.537,0.079,0.004,0.044
0.002,0.259,0.585,0.081,0.002,0.037
0.001,0.217,0.631,0.085,0.001,0.031
0.000,0.177,0.675,0.089,0.001,0.025
0.000,0.138,0.715,0.093,0.000,0.020
0.000,0.103,0.751,0.097,0.000,0.015
0.000,0.072,0.782,0.101,0.000,0.010
0.000,0.046,0.809,0.104,0.000,0.007
0.000,0.027,0.830,0.105,0.001,0.004
0.001,0.013,0.845,0.104,0.001,0.002
0.003,0.004,0.855,0.101,0.002,0.001
0.007,0.000,0.859,0.095,0.004,0.000
0.012,0.001,0.858,0.087,0.007,0.000
0.019,0.005,0.853,0.077,0.011,0.001
0.028,0.011,0.843,0.064,0.016,0.002
0.039,0.018,0.830,0.051,0.023,0.004
0.052,0.026,0.814,0.037,0.030,0.006
0.067,0.034,0.795,0.024,0.038,0.008
0.082,0.041,0.774,0.013,0.046,0.009
0.098,0.047,0.752,0.004,0.054,0.010
0.113,0.051,0.729,0.000,0.062,0.011
0.126,0.054,0.705,0.001,0.069,0.011
0.137,0.055,0.682,0.007,0.075,0.010
0.145,0.055,0.658,0.019,0.079,0.008
0.149,0.055,0.635,0.038,0.081,0.007
0.149,0.053,0.613,0.062,0.082,0.005
0.146,0.052,0.591,0.092,0.080,0.002
0.139,0.050,0.570,0.127,0.077,0.001
0.129,0.049,0.550,0.164,0.072,0.000
0.116,0.049,0.530,0.204,0.065,0.000
0.102,0.049,0.511,0.243,0.058,0.002
0.086,0.050,0.492,0.280,0.049,0.005
0.071,0.052,0.473,0.314,0.041,0.012
0.056,0.056,0.453,0.343,0.033,0.021
0.042,0.061,0.434,0.367,0.026,0.032
0.031,0.068,0.414,0.383,0.020,0.047
0.021,0.077,0.393,0.391,0.014,0.065
0.013,0.089,0.371,0.392,0.010,0.086
0.008,0.103,0.349,0.386,0.006,0.110
0.004,0.119,0.325,0.372,0.004,0.137
0.002,0.138,0.301,0.353,0.002,0.165
0.001,0.159,0.276,0.329,0.001,0.195
0.000,0.182,0.250,0.301,0.001,0.227
0.000,0.206,0.224,0.271,0.000,0.259
0.000,0.231,0.198,0.240,0.000,0.291
0.000,0.255,0.172,0.209,0.000,0.323
0.000,0.278,0.147,0.179,0.000,0.354
0.000,0.299,0.123,0.152,0.001,0.385
0.001,0.317,0.101,0.126,0.001,0.413
0.003,0.329,0.080,0.104,0.003,0.440
0.006,0.337,0.061,0.085,0.005,0.465
0.011,0.338,0.045,0.069,0.007,0.488
0.018,0.332,0.032,0.056,0.011,0.510
0.027,0.320,0.021,0.045,0.017,0.529
0.038,0.301,0.012,0.037,0.023,0.547
0.051,0.277,0.006,0.030,0.030,0.564
0.066,0.248,0.002,0.026,0.038,0.579
0.081,0.215,0.001,0.022,0.046,0.594
0.096,0.180,0.001,0.020,0.054,0.607
0.111,0.145,0.002,0.018,0.062,0.620
0.124,0.110,0.004,0.017,0.069,0.633
0.134,0.079,0.006,0.017,0.075,0.646
0.142,0.051,0.009,0.017,0.079,0.659
0.146,0.029,0.011,0.017,0.081,0.672
0.147,0.013,0.013,0.017,0.082,0.685
0.144,0.003,0.014,0.017,0.080,0.698
0.137,0.000,0.015,0.017,0.077,0.711
0.127,0.003,0.014,0.016,0.072,0.724
0.115,0.012,0.013,0.014,0.065,0.737
0.100,0.025,0.011,0.012,0.058,0.749
0.085,0.042,0.009,0.009,0.050,0.760
0.070,0.061,0.006,0.006,0.042,0.770
0.055,0.082,0.004,0.003,0.034,0.777
0.042,0.101,0.002,0.001,0.027,0.783
0.030,0.120,0.000,0.000,0.020,0.785
0.021,0.136,0.000,0.000,0.015,0.784
0.013,0.149,0.000,0.003,0.010,0.780
0.008,0.158,0.001,0.009,0.007,0.772
0.004,0.164,0.004,0.019,0.004,0.759
0.002,0.167,0.008,0.034,0.003,0.742
0.001,0.166,0.013,0.054,0.002,0.720
0.000,0.163,0.020,0.078,0.001,0.694
0.000,0.157,0.027,0.107,0.001,0.663
0.000,0.149,0.035,0.141,0.000,0.629
0.000,0.141,0.045,0.177,0.000,0.591
0.000,0.132,0.055,0.216,0.000,0.550
0.000,0.124,0.066,0.257,0.001,0.507
0.001,0.116,0.077,0.296,0.001,0.463
0.003,0.109,0.089,0.334,0.003,0.418
0.006,0.103,0.101,0.367,0.005,0.373
0.011,0.098,0.113,0.396,0.008,0.328
0.018,0.095,0.126,0.417,0.012,0.285
0.027,0.094,0.140,0.432,0.017,0.245
0.037,0.094,0.154,0.438,0.023,0.207
0.050,0.096,0.169,0.436,0.030,0.172
0.064,0.100,0.185,0.425,0.038,0.140
0.079,0.105,0.203,0.407,0.046,0.112
0.094,0.112,0.221,0.382,0.054,0.088
0.109,0.121,0.241,0.351,0.062,0.068
0.121,0.131,0.263,0.316,0.069,0.051
0.132,0.142,0.286,0.279,0.075,0.037
0.140,0.154,0.312,0.240,0.079,0.026
0.144,0.166,0.340,0.201,0.081,0.018
0.145,0.177,0.370,0.165,0.082,0.012
0.142,0.188,0.402,0.131,0.081,0.007
0.135,0.196,0.436,0.100,0.077,0.004
0.125,0.202,0.473,0.074,0.072,0.002
0.113,0.205,0.512,0.052,0.066,0.001
0.099,0.204,0.552,0.035,0.059,0.001
0.084,0.198,0.593,0.022,0.051,0.000
0.069,0.189,0.635,0.012,0.043,0.000
0.055,0.175,0.677,0.006,0.035,0.000
0.042,0.158,0.719,0.002,0.027,0.000
0.030,0.137,0.759,0.001,0.021,0.000
0.021,0.114,0.797,0.000,0.015,0.000
0.013,0.090,0.833,0.001,0.011,0.000
0.008,0.067,0.864,0.002,0.007,0.000
0.004,0.045,0.891,0.003,0.005,0.000
0.002,0.026,0.913,0.003,0.003,0.000
0.001,0.012,0.929,0.004,0.002,0.000
0.000,0.003,0.939,0.005,0.001,0.000
0.000,0.000,0.943,0.005,0.001,0.000
0.000,0.003,0.939,0.005,0.001,0.000
0.000,0.013,0.929,0.005,0.000,0.000
0.000,0.029,0.913,0.005,0.000,0.000
0.000,0.051,0.890,0.005,0.001,0.000
0.001,0.077,0.861,0.006,0.002,0.001
0.003,0.107,0.827,0.007,0.003,0.001
0.006,0.139,0.789,0.008,0.005,0.001
0.011,0.170,0.747,0.010,0.008,0.002
0.017,0.201,0.703,0.013,0.012,0.002
0.026,0.229,0.656,0.017,0.017,0.003
0.037,0.252,0.609,0.022,0.023,0.004
0.049,0.271,0.561,0.030,0.030,0.006
0.063,0.285,0.514,0.040,0.038,0.007
0.078,0.293,0.469,0.052,0.046,0.010
0.092,0.295,0.425,0.068,0.054,0.013
0.106,0.291,0.383,0.087,0.062,0.017
0.119,0.282,0.344,0.110,0.069,0.023
0.130,0.270,0.307,0.135,0.075,0.029
0.137,0.254,0.274,0.164,0.079,0.038
0.142,0.235,0.243,0.195,0.081,0.049
