y,vals
0.0,0.0
0.2,1000.0
0.4,2000.0
0.6,3000.0
0.8,4000.0
1.0,5000.0
1.2,6000.0
1.4,7000.0
1.6,8000.0
1.8,9000.0
2.0,10000.0
