0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.003,0.026,0.157,0.801,0.000,0.000,0.001,0.003,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.002,0.011,0.037,0.099,0.224,0.454,0.003,0.014,0.031,0.051,0.054,0.002,0.005,0.007,0.005,0.000,0.001,0.000,0.000,0.000,0.000
0.003,0.013,0.033,0.071,0.131,0.221,0.022,0.050,0.077,0.090,0.072,0.045,0.051,0.042,0.021,0.030,0.015,0.005,0.006,0.001,0.000
0.000,0.002,0.011,0.028,0.058,0.106,0.005,0.033,0.055,0.070,0.056,0.059,0.082,0.060,0.028,0.165,0.037,0.015,0.111,0.002,0.011
0.000,0.000,0.002,0.009,0.026,0.053,0.000,0.006,0.031,0.038,0.037,0.006,0.078,0.035,0.028,0.109,0.073,0.017,0.330,0.003,0.111
0.000,0.000,0.000,0.006,0.010,0.028,0.000,0.001,0.019,0.012,0.026,0.000,0.014,0.037,0.021,0.016,0.179,0.001,0.242,0.012,0.365
0.001,0.000,0.002,0.003,0.001,0.018,0.002,0.001,0.000,0.016,0.017,0.003,0.000,0.093,0.002,0.011,0.171,0.006,0.042,0.000,0.601
0.004,0.012,0.000,0.008,0.005,0.014,0.008,0.002,0.006,0.049,0.002,0.015,0.001,0.095,0.003,0.025,0.052,0.005,0.001,0.021,0.662
0.000,0.019,0.042,0.001,0.037,0.003,0.011,0.028,0.001,0.066,0.002,0.015,0.015,0.024,0.004,0.037,0.001,0.000,0.024,0.076,0.583
0.000,0.002,0.061,0.052,0.021,0.002,0.002,0.055,0.021,0.061,0.011,0.019,0.016,0.002,0.001,0.027,0.019,0.010,0.037,0.107,0.460
0.000,0.000,0.016,0.127,0.005,0.004,0.000,0.023,0.101,0.007,0.039,0.010,0.051,0.004,0.014,0.007,0.027,0.056,0.055,0.105,0.333
0.000,0.000,0.000,0.097,0.073,0.001,0.001,0.005,0.088,0.031,0.067,0.000,0.075,0.000,0.004,0.029,0.000,0.103,0.049,0.146,0.212
0.004,0.001,0.003,0.050,0.110,0.032,0.001,0.001,0.031,0.137,0.055,0.007,0.036,0.039,0.002,0.051,0.001,0.072,0.000,0.192,0.156
0.001,0.010,0.004,0.027,0.078,0.108,0.018,0.001,0.021,0.203,0.016,0.001,0.001,0.126,0.012,0.000,0.021,0.017,0.009,0.132,0.175
0.000,0.010,0.001,0.043,0.049,0.200,0.012,0.010,0.003,0.147,0.001,0.021,0.009,0.127,0.020,0.008,0.077,0.001,0.001,0.043,0.198
0.000,0.001,0.020,0.013,0.028,0.297,0.001,0.051,0.000,0.025,0.007,0.048,0.005,0.117,0.006,0.000,0.158,0.000,0.043,0.003,0.151
