y,vals
0.0,0.0
1.0,5000.0
2.0,10000.0
3.0,15000.0
4.0,20000.0
5.0,25000.0
6.0,30000.0
7.0,35000.0
8.0,40000.0
9.0,45000.0
10.0,50000.0
