,0
0,0.0
1,4.5586913273632693e-11
2,9.117382654726539e-11
3,1.3676073982089807e-10
4,1.8234765309453077e-10
5,2.2793456636816348e-10
6,2.735214796417962e-10
7,3.191083929154289e-10
8,3.646953061890616e-10
9,4.102822194626943e-10
10,4.55869132736327e-10
11,5.014560460099597e-10
12,5.470429592835924e-10
13,5.92629872557225e-10
14,6.382167858308577e-10
15,6.838036991044903e-10
16,7.29390612378123e-10
17,7.749775256517556e-10
18,8.205644389253883e-10
19,8.66151352199021e-10
20,9.117382654726536e-10
21,9.573251787462863e-10
22,1.002912092019919e-09
23,1.0484990052935518e-09
24,1.0940859185671845e-09
25,1.1396728318408173e-09
26,1.18525974511445e-09
27,1.2308466583880828e-09
28,1.2764335716617156e-09
29,1.3220204849353483e-09
30,1.367607398208981e-09
31,1.4131943114826138e-09
32,1.4587812247562466e-09
33,1.5043681380298794e-09
34,1.5499550513035121e-09
35,1.5955419645771449e-09
36,1.6411288778507776e-09
37,1.6867157911244104e-09
38,1.7323027043980432e-09
39,1.777889617671676e-09
40,1.8234765309453087e-09
41,1.8690634442189414e-09
42,1.914650357492574e-09
43,1.960237270766207e-09
44,2.0058241840398397e-09
45,2.0514110973134725e-09
46,2.0969980105871052e-09
47,2.142584923860738e-09
48,2.1881718371343707e-09
49,2.2337587504080035e-09
50,2.2793456636816362e-09
51,2.324932576955269e-09
52,2.3705194902289018e-09
53,2.4161064035025345e-09
54,2.4616933167761673e-09
55,2.5072802300498e-09
56,2.552867143323433e-09
57,2.5984540565970656e-09
58,2.6440409698706983e-09
59,2.689627883144331e-09
60,2.735214796417964e-09
61,2.7808017096915966e-09
62,2.8263886229652293e-09
63,2.871975536238862e-09
64,2.917562449512495e-09
65,2.9631493627861276e-09
66,3.0087362760597604e-09
67,3.054323189333393e-09
68,3.099910102607026e-09
69,3.1454970158806587e-09
70,3.1910839291542914e-09
71,3.236670842427924e-09
72,3.282257755701557e-09
73,3.3278446689751897e-09
74,3.3734315822488224e-09
75,3.419018495522455e-09
76,3.464605408796088e-09
77,3.5101923220697207e-09
78,3.5557792353433535e-09
79,3.6013661486169862e-09
80,3.646953061890619e-09
81,3.6925399751642517e-09
82,3.7381268884378845e-09
83,3.783713801711517e-09
84,3.829300714985149e-09
85,3.8748876282587815e-09
86,3.920474541532414e-09
87,3.966061454806046e-09
88,4.0116483680796786e-09
89,4.057235281353311e-09
90,4.102822194626943e-09
91,4.148409107900576e-09
92,4.193996021174208e-09
93,4.23958293444784e-09
94,4.285169847721473e-09
95,4.330756760995105e-09
96,4.376343674268737e-09
97,4.42193058754237e-09
98,4.467517500816002e-09
99,4.513104414089634e-09
100,4.558691327363267e-09
101,4.604278240636899e-09
102,4.649865153910531e-09
103,4.695452067184164e-09
104,4.741038980457796e-09
105,4.7866258937314284e-09
106,4.832212807005061e-09
107,4.877799720278693e-09
108,4.9233866335523255e-09
109,4.968973546825958e-09
110,5.01456046009959e-09
111,5.0601473733732225e-09
112,5.105734286646855e-09
113,5.151321199920487e-09
114,5.1969081131941195e-09
115,5.242495026467752e-09
116,5.288081939741384e-09
117,5.3336688530150166e-09
118,5.379255766288649e-09
119,5.424842679562281e-09
120,5.470429592835914e-09
121,5.516016506109546e-09
122,5.561603419383178e-09
123,5.607190332656811e-09
124,5.652777245930443e-09
125,5.698364159204075e-09
