0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000001603,0.0006930137,0.9558323492,0.0000000001,0.0000003340,0.0004621160,0.0000000000,0.0000000000,0.0000000267
0.0000025372,0.0026885724,0.9113102638,0.0000000053,0.0000053022,0.0018139527,0.0000000000,0.0000000016,0.0000004256
0.0000123989,0.0057438943,0.8666721787,0.0000000596,0.0000261832,0.0039540065,0.0000000000,0.0000000178,0.0000021257
0.0000372301,0.0096281378,0.8221442351,0.0000003253,0.0000798197,0.0067793080,0.0000000005,0.0000000978,0.0000065902
0.0000855443,0.0141247860,0.7779389259,0.0000011927,0.0001866952,0.0101867989,0.0000000028,0.0000003633,0.0000157246
0.0001658959,0.0190335640,0.7342539797,0.0000033977,0.0003691741,0.0140746143,0.0000000117,0.0000010506,0.0000317827
0.0002860881,0.0241719028,0.6912714783,0.0000081307,0.0006499285,0.0183432557,0.0000000387,0.0000025558,0.0000572714
0.0004525675,0.0293759644,0.6491572060,0.0000171215,0.0010505712,0.0228966479,0.0000001080,0.0000054774,0.0000948581
0.0006699932,0.0345012546,0.6080602200,0.0000326927,0.0015905029,0.0276430708,0.0000002650,0.0000106534,0.0001472798
0.0009409650,0.0394228521,0.5681126335,0.0000577762,0.0022859811,0.0324959627,0.0000005871,0.0000191904,0.0002172585
0.0012658949,0.0440352868,0.5294295977,0.0000958895,0.0031494054,0.0373745931,0.0000011975,0.0000324821,0.0003074214
0.0016430024,0.0482521061,0.4921094685,0.0001510738,0.0041888166,0.0422046058,0.0000022810,0.0000522161,0.0004202292
0.0020684144,0.0520051656,0.4562341418,0.0002277965,0.0054075958,0.0469184330,0.0000041018,0.0000803692,0.0005579123
0.0025363514,0.0552436862,0.4218695407,0.0003308229,0.0068043496,0.0514555862,0.0000070227,0.0001191885,0.0007224156
0.0030393800,0.0579331172,0.3890662359,0.0004650634,0.0083729647,0.0557628295,0.0000115242,0.0001711620,0.0009153532
0.0035687143,0.0600538455,0.3578601820,0.0006354030,0.0101028114,0.0597942408,0.0000182242,0.0002389768,0.0011379717
0.0041145482,0.0615997897,0.3282735507,0.0008465212,0.0119790745,0.0635111718,0.0000278951,0.0003254683,0.0013911236
0.0046664036,0.0625769149,0.3003156431,0.0011027097,0.0139831907,0.0668821133,0.0000414797,0.0004335603,0.0016752502
0.0052134804,0.0630017049,0.2739838628,0.0014076941,0.0160933683,0.0698824777,0.0000601038,0.0005661994,0.0019903731
0.0057449950,0.0628996212,0.2492647333,0.0017644685,0.0182851692,0.0724943077,0.0000850840,0.0007262844,0.0023360947
0.0062504990,0.0623035793,0.2261349436,0.0021751472,0.0205321304,0.0747059229,0.0001179322,0.0009165939,0.0027116062
0.0067201671,0.0612524660,0.2045624060,0.0026408402,0.0228064056,0.0765115130,0.0001603540,0.0011397137,0.0031157033
0.0071450492,0.0597897214,0.1845073131,0.0031615550,0.0250794085,0.0779106906,0.0002142413,0.0013979658,0.0035468082
0.0075172822,0.0579620028,0.1659231806,0.0037361290,0.0273224411,0.0789080111,0.0002816599,0.0016933417,0.0040029976
0.0078302571,0.0558179455,0.1487578651,0.0043621943,0.0295072913,0.0795124718,0.0003648303,0.0020274409,0.0044820349
0.0080787417,0.0534070327,0.1329545463,0.0050361748,0.0316067894,0.0797369968,0.0004661030,0.0024014173,0.0049814065
0.0082589572,0.0507785816,0.1184526658,0.0057533161,0.0335953109,0.0795979194,0.0005879290,0.0028159334,0.0054983617
0.0083686121,0.0479808525,0.1051888146,0.0065077472,0.0354492193,0.0791144661,0.0007328237,0.0032711246,0.0060299535
0.0084068947,0.0450602818,0.0930975644,0.0072925704,0.0371472416,0.0783082523,0.0009033280,0.0037665738,0.0065730817
0.0083744273,0.0420608388,0.0821122370,0.0080999784,0.0386707744,0.0772027942,0.0011019650,0.0043012968,0.0071245361
0.0082731872,0.0390235050,0.0721656100,0.0089213935,0.0400041173,0.0758230423,0.0013311942,0.0048737387,0.0076810389
0.0081063989,0.0359858697,0.0631905560,0.0097476260,0.0411346342,0.0741949417,0.0015933637,0.0054817818,0.0082392868
0.0078784025,0.0329818371,0.0551206146,0.0105690462,0.0420528449,0.0723450222,0.0018906616,0.0061227634,0.0087959913
0.0075945025,0.0300414364,0.0478904975,0.0113757666,0.0427524489,0.0703000211,0.0022250685,0.0067935045,0.0093479162
0.0072608045,0.0271907263,0.0414365267,0.0121578289,0.0432302868,0.0680865407,0.0025983101,0.0074903477,0.0098919134
0.0068840424,0.0244517851,0.0356970095,0.0129053921,0.0434862448,0.0657307423,0.0030118132,0.0082092032,0.0104249550
0.0064714031,0.0218427757,0.0306125507,0.0136089151,0.0435231072,0.0632580765,0.0034666646,0.0089456022,0.0109441625
0.0060303515,0.0193780756,0.0261263067,0.0142593331,0.0433463654,0.0606930504,0.0039635742,0.0096947572,0.0114468321
0.0055684612,0.0170684613,0.0221841832,0.0148482208,0.0429639893,0.0580590310,0.0045028434,0.0104516258,0.0119304567
