(1.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(-0.54773,-0.83638),(0.00013,0.00019),(0.00000,0.00000),(-0.01799,0.01178),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00013,0.00019),(-0.54773,-0.83638),(0.00000,0.00000),(-0.01799,0.01178),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.39951,0.91622),(0.00000,0.00000),(0.01970,0.00859),(0.01970,0.00859),(0.00000,0.00000),(0.00026,-0.00060),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(-0.01799,0.01178),(-0.01799,0.01178),(0.00000,0.00000),(-0.54761,-0.83618),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.01970,0.00859),(0.00000,0.00000),(-0.39942,0.91601),(0.00028,-0.00064),(0.00000,0.00000),(0.02787,0.01215),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.01970,0.00859),(0.00000,0.00000),(0.00028,-0.00064),(-0.39942,0.91601),(0.00000,0.00000),(0.02787,0.01215),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.98491,-0.16766),(0.00000,0.00000),(-0.00510,-0.02997),(-0.00510,-0.02997),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00026,-0.00060),(0.00000,0.00000),(0.02787,0.01215),(0.02787,0.01215),(0.00000,0.00000),(-0.39933,0.91580),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00510,-0.02997),(0.00000,0.00000),(0.98536,-0.16774),(-0.00046,0.00008),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00510,-0.02997),(0.00000,0.00000),(-0.00046,0.00008),(0.98536,-0.16774),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.68048,-0.73277)
