y,vals
0.0,0.0
0.1,500.0
0.2,1000.0
0.3,1500.0
0.4,2000.0
0.5,2500.0
0.6,3000.0
0.7,3500.0
0.8,4000.0
0.9,4500.0
1.0,5000.0
