0.000,0.000,0.000,0.006,0.004,0.021,0.000,0.001,0.003,0.010,0.022,0.000,0.000,0.067,0.009,0.009,0.198,0.002,0.109,0.004,0.521
0.000,0.000,0.001,0.005,0.002,0.019,0.001,0.001,0.001,0.012,0.020,0.001,0.000,0.080,0.005,0.010,0.188,0.004,0.073,0.002,0.563
0.001,0.000,0.002,0.003,0.001,0.018,0.002,0.001,0.000,0.016,0.017,0.003,0.000,0.092,0.002,0.011,0.171,0.006,0.045,0.000,0.598
0.002,0.000,0.003,0.001,0.001,0.018,0.003,0.000,0.001,0.021,0.014,0.005,0.000,0.101,0.001,0.013,0.148,0.007,0.024,0.000,0.626
0.003,0.001,0.004,0.000,0.001,0.017,0.004,0.000,0.003,0.027,0.010,0.007,0.000,0.106,0.000,0.016,0.123,0.007,0.011,0.002,0.646
0.003,0.003,0.003,0.001,0.001,0.016,0.005,0.000,0.004,0.035,0.007,0.010,0.000,0.107,0.000,0.019,0.098,0.007,0.003,0.007,0.658
0.004,0.007,0.002,0.004,0.002,0.015,0.007,0.001,0.006,0.042,0.004,0.012,0.000,0.103,0.001,0.022,0.074,0.006,0.000,0.013,0.663
0.003,0.012,0.000,0.008,0.005,0.014,0.008,0.002,0.006,0.048,0.002,0.014,0.001,0.095,0.003,0.025,0.053,0.005,0.001,0.021,0.661
0.003,0.017,0.000,0.011,0.009,0.012,0.010,0.004,0.006,0.054,0.001,0.016,0.003,0.083,0.004,0.028,0.036,0.003,0.004,0.031,0.654
0.002,0.021,0.005,0.012,0.015,0.010,0.011,0.008,0.005,0.058,0.000,0.017,0.006,0.068,0.005,0.031,0.022,0.002,0.009,0.042,0.642
0.001,0.022,0.014,0.010,0.022,0.007,0.011,0.013,0.004,0.061,0.000,0.017,0.009,0.053,0.005,0.033,0.012,0.001,0.014,0.053,0.626
0.001,0.021,0.026,0.005,0.030,0.005,0.012,0.019,0.003,0.063,0.001,0.016,0.012,0.038,0.005,0.036,0.005,0.000,0.019,0.064,0.606
0.000,0.018,0.041,0.001,0.037,0.003,0.011,0.027,0.001,0.065,0.002,0.015,0.014,0.025,0.004,0.037,0.001,0.000,0.024,0.075,0.584
0.000,0.014,0.054,0.000,0.041,0.001,0.009,0.036,0.000,0.067,0.003,0.015,0.015,0.016,0.002,0.038,0.000,0.001,0.028,0.085,0.561
0.000,0.010,0.063,0.004,0.041,0.000,0.007,0.045,0.000,0.068,0.004,0.015,0.016,0.009,0.001,0.038,0.001,0.002,0.031,0.094,0.537
0.000,0.007,0.067,0.015,0.038,0.000,0.005,0.051,0.003,0.068,0.006,0.016,0.015,0.005,0.000,0.036,0.005,0.003,0.033,0.100,0.512
0.000,0.004,0.066,0.031,0.031,0.001,0.003,0.055,0.010,0.066,0.008,0.017,0.015,0.003,0.000,0.032,0.011,0.006,0.035,0.104,0.487
0.000,0.003,0.060,0.051,0.022,0.002,0.002,0.054,0.021,0.061,0.011,0.019,0.016,0.002,0.002,0.027,0.018,0.010,0.037,0.107,0.462
0.000,0.001,0.052,0.072,0.012,0.003,0.001,0.050,0.036,0.053,0.015,0.020,0.019,0.002,0.004,0.022,0.025,0.015,0.039,0.107,0.436
0.000,0.001,0.043,0.092,0.005,0.004,0.001,0.044,0.053,0.042,0.020,0.020,0.023,0.002,0.007,0.016,0.031,0.022,0.042,0.106,0.411
0.000,0.000,0.033,0.108,0.001,0.004,0.000,0.037,0.071,0.030,0.025,0.018,0.031,0.003,0.010,0.012,0.033,0.031,0.046,0.105,0.386
0.000,0.000,0.025,0.119,0.001,0.004,0.000,0.030,0.087,0.018,0.032,0.014,0.040,0.003,0.012,0.009,0.031,0.043,0.050,0.105,0.360
0.000,0.000,0.017,0.125,0.006,0.004,0.000,0.024,0.100,0.008,0.039,0.010,0.051,0.004,0.014,0.007,0.026,0.055,0.055,0.106,0.334
0.000,0.000,0.012,0.125,0.015,0.003,0.000,0.019,0.107,0.001,0.046,0.006,0.061,0.003,0.014,0.007,0.020,0.068,0.059,0.109,0.308
0.000,0.000,0.008,0.122,0.027,0.001,0.000,0.014,0.110,0.000,0.052,0.003,0.070,0.003,0.013,0.009,0.013,0.081,0.061,0.114,0.282
0.000,0.000,0.004,0.116,0.042,0.000,0.000,0.011,0.107,0.005,0.058,0.001,0.075,0.001,0.010,0.013,0.007,0.091,0.061,0.122,0.257
0.000,0.000,0.002,0.108,0.057,0.000,0.001,0.008,0.099,0.015,0.063,0.001,0.076,0.000,0.007,0.020,0.003,0.098,0.057,0.133,0.234
0.000,0.000,0.001,0.098,0.072,0.001,0.001,0.005,0.088,0.031,0.066,0.000,0.074,0.000,0.005,0.028,0.001,0.102,0.049,0.145,0.213
0.001,0.000,0.000,0.089,0.085,0.003,0.001,0.003,0.075,0.050,0.068,0.001,0.069,0.001,0.002,0.039,0.000,0.102,0.038,0.158,0.195
0.002,0.000,0.000,0.079,0.096,0.007,0.001,0.002,0.061,0.072,0.067,0.001,0.062,0.005,0.001,0.048,0.000,0.099,0.026,0.171,0.180
0.003,0.000,0.000,0.069,0.104,0.013,0.000,0.002,0.049,0.094,0.065,0.003,0.054,0.013,0.000,0.054,0.000,0.092,0.015,0.181,0.169
0.003,0.001,0.001,0.060,0.109,0.021,0.000,0.001,0.040,0.115,0.061,0.005,0.046,0.024,0.001,0.055,0.000,0.083,0.006,0.188,0.161
0.003,0.001,0.003,0.051,0.110,0.031,0.001,0.001,0.032,0.135,0.055,0.007,0.037,0.039,0.002,0.050,0.001,0.072,0.001,0.190,0.156
0.003,0.001,0.004,0.044,0.108,0.043,0.003,0.002,0.027,0.153,0.049,0.008,0.028,0.057,0.004,0.040,0.002,0.060,0.000,0.187,0.155
0.003,0.002,0.005,0.037,0.103,0.057,0.006,0.002,0.025,0.169,0.041,0.008,0.020,0.077,0.006,0.028,0.005,0.048,0.002,0.179,0.157
0.002,0.004,0.005,0.032,0.096,0.073,0.010,0.002,0.023,0.182,0.033,0.007,0.012,0.096,0.008,0.016,0.009,0.037,0.005,0.167,0.161
0.001,0.007,0.005,0.029,0.088,0.089,0.014,0.002,0.022,0.194,0.025,0.004,0.006,0.112,0.010,0.007,0.014,0.026,0.007,0.151,0.167
0.001,0.009,0.004,0.028,0.079,0.107,0.017,0.001,0.021,0.202,0.017,0.001,0.002,0.124,0.012,0.002,0.020,0.018,0.008,0.132,0.174
0.000,0.012,0.002,0.029,0.070,0.125,0.019,0.000,0.019,0.205,0.011,0.000,0.000,0.131,0.014,0.000,0.029,0.012,0.008,0.113,0.181
0.000,0.013,0.001,0.031,0.063,0.143,0.019,0.000,0.016,0.202,0.005,0.001,0.001,0.134,0.016,0.001,0.038,0.007,0.005,0.094,0.188
0.000,0.013,0.001,0.035,0.057,0.161,0.018,0.002,0.011,0.191,0.002,0.005,0.003,0.133,0.018,0.004,0.049,0.004,0.002,0.075,0.193
0.000,0.012,0.001,0.039,0.053,0.180,0.015,0.005,0.007,0.172,0.000,0.012,0.005,0.131,0.019,0.007,0.062,0.002,0.000,0.059,0.196
0.000,0.010,0.002,0.042,0.050,0.199,0.012,0.010,0.004,0.148,0.000,0.021,0.008,0.128,0.020,0.008,0.076,0.001,0.000,0.044,0.197
0.000,0.007,0.003,0.043,0.047,0.218,0.009,0.017,0.001,0.119,0.001,0.030,0.010,0.125,0.019,0.008,0.091,0.000,0.003,0.032,0.194
0.000,0.006,0.006,0.040,0.044,0.238,0.006,0.025,0.000,0.090,0.003,0.038,0.011,0.122,0.017,0.006,0.107,0.000,0.009,0.022,0.188
0.000,0.004,0.010,0.033,0.041,0.257,0.004,0.033,0.000,0.065,0.005,0.044,0.010,0.120,0.015,0.003,0.124,0.000,0.018,0.014,0.178
0.000,0.003,0.015,0.024,0.035,0.277,0.002,0.041,0.000,0.044,0.006,0.047,0.008,0.118,0.011,0.001,0.140,0.000,0.030,0.008,0.166
0.000,0.002,0.020,0.014,0.028,0.295,0.001,0.049,0.000,0.029,0.007,0.047,0.005,0.118,0.007,0.000,0.156,0.000,0.043,0.004,0.151
0.000,0.001,0.023,0.007,0.020,0.312,0.001,0.056,0.000,0.019,0.008,0.045,0.002,0.117,0.003,0.001,0.169,0.000,0.056,0.001,0.135
0.000,0.001,0.024,0.002,0.011,0.325,0.001,0.061,0.001,0.014,0.008,0.042,0.000,0.117,0.001,0.004,0.178,0.000,0.068,0.000,0.118
0.000,0.000,0.023,0.000,0.004,0.335,0.001,0.062,0.001,0.011,0.009,0.038,0.001,0.118,0.000,0.009,0.182,0.001,0.079,0.001,0.101
0.000,0.000,0.020,0.000,0.000,0.339,0.001,0.059,0.002,0.011,0.011,0.034,0.005,0.120,0.001,0.017,0.180,0.001,0.086,0.002,0.084
0.000,0.000,0.017,0.001,0.001,0.338,0.001,0.053,0.004,0.012,0.014,0.030,0.011,0.123,0.004,0.026,0.174,0.002,0.090,0.005,0.068
0.000,0.000,0.013,0.001,0.007,0.332,0.001,0.044,0.006,0.015,0.019,0.025,0.019,0.126,0.009,0.038,0.163,0.002,0.091,0.008,0.054
0.001,0.001,0.010,0.000,0.016,0.320,0.001,0.034,0.008,0.018,0.027,0.021,0.027,0.128,0.016,0.052,0.150,0.002,0.087,0.012,0.041
0.002,0.001,0.008,0.000,0.028,0.304,0.000,0.025,0.011,0.022,0.038,0.015,0.035,0.129,0.024,0.065,0.135,0.002,0.080,0.016,0.031
0.002,0.001,0.007,0.001,0.038,0.286,0.000,0.017,0.015,0.026,0.054,0.010,0.041,0.128,0.034,0.078,0.120,0.002,0.070,0.021,0.022
0.003,0.000,0.006,0.006,0.045,0.265,0.000,0.012,0.019,0.030,0.074,0.005,0.045,0.123,0.044,0.088,0.105,0.002,0.059,0.026,0.016
0.003,0.000,0.006,0.014,0.046,0.244,0.000,0.009,0.025,0.031,0.098,0.001,0.050,0.115,0.054,0.094,0.091,0.001,0.048,0.031,0.010
0.003,0.000,0.007,0.026,0.042,0.225,0.000,0.007,0.032,0.032,0.127,0.000,0.054,0.103,0.064,0.094,0.076,0.001,0.037,0.037,0.007
0.003,0.001,0.008,0.039,0.033,0.207,0.000,0.005,0.039,0.030,0.157,0.001,0.060,0.089,0.074,0.090,0.061,0.000,0.028,0.042,0.004
0.002,0.002,0.009,0.053,0.022,0.193,0.000,0.005,0.046,0.027,0.187,0.002,0.067,0.074,0.083,0.082,0.045,0.000,0.020,0.048,0.003
0.001,0.004,0.010,0.063,0.011,0.182,0.001,0.005,0.054,0.024,0.216,0.004,0.075,0.058,0.091,0.073,0.030,0.000,0.014,0.053,0.001
0.001,0.006,0.010,0.069,0.003,0.176,0.002,0.004,0.060,0.020,0.241,0.004,0.083,0.043,0.098,0.065,0.017,0.000,0.010,0.057,0.001
0.001,0.010,0.009,0.070,0.000,0.173,0.005,0.004,0.066,0.017,0.260,0.003,0.089,0.029,0.103,0.058,0.007,0.001,0.007,0.059,0.000
0.000,0.013,0.007,0.066,0.003,0.175,0.008,0.003,0.069,0.014,0.273,0.001,0.092,0.018,0.106,0.056,0.001,0.001,0.004,0.059,0.000
