(0.47541,-0.87963),(-0.00946,-0.00511),(-0.00946,-0.00511)
(-0.00946,-0.00511),(0.47544,-0.87968),(-0.00003,0.00005)
(-0.00946,-0.00511),(-0.00003,0.00005),(0.47544,-0.87968)
