x,vals
,0
,1
,2
,3
,4
,5
,6
,7
,8
,9
,10
"[1, [0, 1, 1]]",11
,12
"[1, [1, 0, 1]]",13
"[1, [1, 1, 0]]",14
,15
,16
"[2, [0, 0, 1]]",17
"[2, [0, 1, 0]]",18
,19
"[2, [1, 0, 0]]",20
,21
,22
,23
"[3, [0, 0, 0]]",24
,25
,26
,27
,28
,29
,30
,31
