1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.97454,0.00009,0.00009,0.00077,0.00043,0.00077,0.00009,0.00009,0.00091,0.00000,0.00091,0.00013,0.00013,0.00077,0.00043,0.00077,0.00013,0.00013,0.00011,0.00269,0.00269,0.00084,0.00001,0.00084,0.00121,0.00121,0.00084,0.00001,0.00084,0.00000,0.00000,0.00165,0.00121,0.00121,0.00165,0.00048,0.00007,0.00048,0.00006,0.00006,0.00012,0.00006,0.00006,0.00017,0.00012,0.00004,0.00004,0.00002,0.00002,0.00002
0.94555,0.00024,0.00024,0.00396,0.00030,0.00396,0.00024,0.00024,0.00201,0.00000,0.00201,0.00078,0.00078,0.00396,0.00030,0.00396,0.00078,0.00078,0.00032,0.00821,0.00821,0.00103,0.00002,0.00103,0.00076,0.00076,0.00103,0.00002,0.00103,0.00000,0.00000,0.00162,0.00076,0.00076,0.00162,0.00062,0.00042,0.00062,0.00003,0.00003,0.00035,0.00003,0.00003,0.00015,0.00035,0.00005,0.00005,0.00000,0.00000,0.00000
0.91256,0.00021,0.00021,0.00967,0.00174,0.00967,0.00021,0.00021,0.00036,0.00001,0.00036,0.00016,0.00016,0.00967,0.00174,0.00967,0.00016,0.00016,0.00089,0.01342,0.01342,0.00133,0.00001,0.00133,0.00068,0.00068,0.00133,0.00001,0.00133,0.00001,0.00001,0.00234,0.00068,0.00068,0.00234,0.00049,0.00093,0.00049,0.00000,0.00000,0.00022,0.00000,0.00000,0.00013,0.00022,0.00002,0.00002,0.00001,0.00001,0.00000
0.89272,0.00016,0.00016,0.01827,0.00017,0.01827,0.00016,0.00016,0.00014,0.00000,0.00014,0.00011,0.00011,0.01827,0.00017,0.01827,0.00011,0.00011,0.00154,0.00986,0.00986,0.00113,0.00001,0.00113,0.00046,0.00046,0.00113,0.00001,0.00113,0.00002,0.00002,0.00029,0.00046,0.00046,0.00029,0.00083,0.00049,0.00083,0.00007,0.00007,0.00080,0.00007,0.00007,0.00005,0.00080,0.00002,0.00002,0.00006,0.00006,0.00000
0.87502,0.00006,0.00006,0.02600,0.00044,0.02600,0.00006,0.00006,0.00010,0.00000,0.00010,0.00056,0.00056,0.02600,0.00044,0.02600,0.00056,0.00056,0.00263,0.00171,0.00171,0.00047,0.00001,0.00047,0.00042,0.00042,0.00047,0.00001,0.00047,0.00002,0.00002,0.00119,0.00042,0.00042,0.00119,0.00039,0.00005,0.00039,0.00001,0.00001,0.00206,0.00001,0.00001,0.00010,0.00206,0.00000,0.00000,0.00012,0.00012,0.00001
0.82481,0.00035,0.00035,0.03435,0.00040,0.03435,0.00035,0.00035,0.00227,0.00000,0.00227,0.00029,0.00029,0.03435,0.00040,0.03435,0.00029,0.00029,0.00674,0.00374,0.00374,0.00013,0.00001,0.00013,0.00244,0.00244,0.00013,0.00001,0.00013,0.00004,0.00004,0.00077,0.00244,0.00244,0.00077,0.00008,0.00012,0.00008,0.00002,0.00002,0.00159,0.00002,0.00002,0.00005,0.00159,0.00002,0.00002,0.00004,0.00004,0.00001
0.77468,0.00013,0.00013,0.04454,0.00117,0.04454,0.00013,0.00013,0.00186,0.00001,0.00186,0.00093,0.00093,0.04454,0.00117,0.04454,0.00093,0.00093,0.01241,0.00388,0.00388,0.00016,0.00001,0.00016,0.00303,0.00303,0.00016,0.00001,0.00016,0.00005,0.00005,0.00043,0.00303,0.00303,0.00043,0.00037,0.00007,0.00037,0.00002,0.00002,0.00092,0.00002,0.00002,0.00002,0.00092,0.00005,0.00005,0.00003,0.00003,0.00000
0.71104,0.00006,0.00006,0.05606,0.00098,0.05606,0.00006,0.00006,0.00018,0.00001,0.00018,0.00105,0.00105,0.05606,0.00098,0.05606,0.00105,0.00105,0.02152,0.00986,0.00986,0.00040,0.00000,0.00040,0.00198,0.00198,0.00040,0.00000,0.00040,0.00004,0.00004,0.00143,0.00198,0.00198,0.00143,0.00011,0.00028,0.00011,0.00002,0.00002,0.00169,0.00002,0.00002,0.00020,0.00169,0.00000,0.00000,0.00005,0.00005,0.00000
0.66695,0.00008,0.00008,0.06945,0.00062,0.06945,0.00008,0.00008,0.00030,0.00001,0.00030,0.00050,0.00050,0.06945,0.00062,0.06945,0.00050,0.00050,0.02958,0.00837,0.00837,0.00009,0.00003,0.00009,0.00015,0.00015,0.00009,0.00003,0.00009,0.00005,0.00005,0.00018,0.00015,0.00015,0.00018,0.00012,0.00072,0.00012,0.00001,0.00001,0.00108,0.00001,0.00001,0.00002,0.00108,0.00001,0.00001,0.00004,0.00004,0.00000
