(-0.99541,0.08412),(0.00157,0.01855),(0.00157,0.01855),(0.00028,-0.00002),(0.00157,0.01855),(0.00028,-0.00002),(0.00028,-0.00002),(0.00000,0.00000),(0.00157,0.01855),(0.00028,-0.00002),(0.00028,-0.00002),(0.00000,0.00000),(0.00028,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00157,0.01855),(0.00028,-0.00002),(0.00028,-0.00002),(0.00000,0.00000),(0.00028,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00028,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00157,0.01855),(0.00028,-0.00002),(0.00028,-0.00002),(0.00000,0.00000),(0.00028,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00028,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00028,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00157,0.01855),(-0.99570,0.08414),(0.00029,-0.00002),(0.00128,0.01515),(0.00029,-0.00002),(0.00128,0.01515),(0.00000,0.00000),(0.00016,-0.00001),(0.00029,-0.00002),(0.00128,0.01515),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00029,-0.00002),(0.00128,0.01515),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00029,-0.00002),(0.00128,0.01515),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00157,0.01855),(0.00029,-0.00002),(-0.99570,0.08414),(0.00128,0.01515),(0.00029,-0.00002),(0.00000,0.00000),(0.00128,0.01515),(0.00016,-0.00001),(0.00029,-0.00002),(0.00000,0.00000),(0.00128,0.01515),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00029,-0.00002),(0.00000,0.00000),(0.00128,0.01515),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00029,-0.00002),(0.00000,0.00000),(0.00128,0.01515),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000)
(0.00028,-0.00002),(0.00128,0.01515),(0.00128,0.01515),(-0.99599,0.08417),(0.00000,0.00000),(0.00017,-0.00001),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00017,-0.00001),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00157,0.01855),(0.00029,-0.00002),(0.00029,-0.00002),(0.00000,0.00000),(-0.99570,0.08414),(0.00128,0.01515),(0.00128,0.01515),(0.00016,-0.00001),(0.00029,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00128,0.01515),(0.00016,-0.00001),(0.00016,-0.00001),(0.00029,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00128,0.01515),(0.00016,-0.00001),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00029,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00128,0.01515),(0.00016,-0.00001),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001),(0.00000,0.00000)
(0.00028,-0.00002),(0.00128,0.01515),(0.00000,0.00000),(0.00017,-0.00001),(0.00128,0.01515),(-0.99599,0.08417),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00028,-0.00002),(0.00000,0.00000),(0.00128,0.01515),(0.00017,-0.00001),(0.00128,0.01515),(0.00017,-0.00001),(-0.99599,0.08417),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00016,-0.00001),(0.00016,-0.00001),(0.00091,0.01071),(0.00016,-0.00001),(0.00091,0.01071),(0.00091,0.01071),(-0.99628,0.08419),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00157,0.01855),(0.00029,-0.00002),(0.00029,-0.00002),(0.00000,0.00000),(0.00029,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.99570,0.08414),(0.00128,0.01515),(0.00128,0.01515),(0.00016,-0.00001),(0.00128,0.01515),(0.00016,-0.00001),(0.00016,-0.00001),(0.00029,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00128,0.01515),(0.00016,-0.00001),(0.00016,-0.00001),(0.00016,-0.00001),(0.00029,-0.00002),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00128,0.01515),(0.00016,-0.00001),(0.00016,-0.00001),(0.00016,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00016,-0.00001)
(0.00028,-0.00002),(0.00128,0.01515),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00128,0.01515),(-0.99599,0.08417),(0.00017,-0.00001),(0.00091,0.01071),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00028,-0.00002),(0.00000,0.00000),(0.00128,0.01515),(0.00017,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00128,0.01515),(0.00017,-0.00001),(-0.99599,0.08417),(0.00091,0.01071),(0.00017,-0.00001),(0.00000,0.00000),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00017,-0.00001),(0.00000,0.00000),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00016,-0.00001),(0.00016,-0.00001),(0.00091,0.01071),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00016,-0.00001),(0.00091,0.01071),(0.00091,0.01071),(-0.99628,0.08419),(0.00000,0.00000),(0.00006,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00006,0.00000),(0.00006,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
