,0
0,0.0
1,6.642664505586481e-13
2,1.3285329011172963e-12
3,1.9927993516759444e-12
4,2.6570658022345926e-12
5,3.3213322527932407e-12
6,3.985598703351889e-12
7,4.649865153910537e-12
8,5.314131604469185e-12
9,5.978398055027833e-12
10,6.6426645055864815e-12
11,7.30693095614513e-12
12,7.971197406703778e-12
13,8.635463857262425e-12
14,9.299730307821072e-12
15,9.96399675837972e-12
16,1.0628263208938367e-11
17,1.1292529659497014e-11
18,1.1956796110055662e-11
19,1.2621062560614309e-11
20,1.3285329011172956e-11
21,1.3949595461731604e-11
22,1.461386191229025e-11
23,1.52781283628489e-11
24,1.5942394813407546e-11
25,1.6606661263966193e-11
26,1.727092771452484e-11
27,1.7935194165083488e-11
28,1.8599460615642135e-11
29,1.9263727066200783e-11
30,1.992799351675943e-11
31,2.0592259967318077e-11
32,2.1256526417876725e-11
33,2.1920792868435372e-11
34,2.258505931899402e-11
35,2.3249325769552667e-11
36,2.3913592220111314e-11
37,2.457785867066996e-11
38,2.524212512122861e-11
39,2.5906391571787256e-11
40,2.6570658022345903e-11
41,2.723492447290455e-11
42,2.7899190923463198e-11
43,2.8563457374021845e-11
44,2.9227723824580496e-11
45,2.9891990275139146e-11
46,3.05562567256978e-11
47,3.122052317625645e-11
48,3.18847896268151e-11
49,3.254905607737375e-11
50,3.32133225279324e-11
51,3.387758897849105e-11
52,3.45418554290497e-11
53,3.520612187960835e-11
54,3.5870388330167e-11
55,3.653465478072565e-11
56,3.71989212312843e-11
57,3.786318768184295e-11
58,3.8527454132401604e-11
59,3.9191720582960254e-11
60,3.9855987033518905e-11
61,4.0520253484077555e-11
62,4.1184519934636206e-11
63,4.1848786385194857e-11
64,4.251305283575351e-11
65,4.317731928631216e-11
66,4.384158573687081e-11
67,4.450585218742946e-11
68,4.517011863798811e-11
69,4.583438508854676e-11
70,4.649865153910541e-11
71,4.716291798966406e-11
72,4.782718444022271e-11
73,4.849145089078136e-11
74,4.915571734134001e-11
75,4.9819983791898663e-11
76,5.0484250242457314e-11
77,5.1148516693015965e-11
78,5.1812783143574615e-11
79,5.2477049594133266e-11
80,5.3141316044691916e-11
81,5.380558249525057e-11
82,5.446984894580922e-11
83,5.513411539636787e-11
84,5.579838184692652e-11
85,5.646264829748517e-11
86,5.712691474804382e-11
87,5.779118119860247e-11
88,5.845544764916112e-11
89,5.911971409971976e-11
90,5.978398055027841e-11
91,6.044824700083705e-11
92,6.11125134513957e-11
93,6.177677990195434e-11
94,6.244104635251299e-11
95,6.310531280307163e-11
96,6.376957925363027e-11
97,6.443384570418892e-11
98,6.509811215474756e-11
99,6.57623786053062e-11
100,6.642664505586485e-11
101,6.70909115064235e-11
102,6.775517795698214e-11
103,6.841944440754078e-11
104,6.908371085809943e-11
105,6.974797730865807e-11
106,7.041224375921671e-11
107,7.107651020977536e-11
108,7.1740776660334e-11
109,7.240504311089265e-11
110,7.306930956145129e-11
111,7.373357601200994e-11
112,7.439784246256858e-11
113,7.506210891312722e-11
114,7.572637536368587e-11
115,7.639064181424451e-11
116,7.705490826480316e-11
117,7.77191747153618e-11
118,7.838344116592044e-11
119,7.904770761647909e-11
120,7.971197406703773e-11
121,8.037624051759638e-11
122,8.104050696815502e-11
123,8.170477341871366e-11
124,8.236903986927231e-11
125,8.303330631983095e-11
126,8.36975727703896e-11
127,8.436183922094824e-11
128,8.502610567150689e-11
129,8.569037212206553e-11
130,8.635463857262417e-11
131,8.701890502318282e-11
132,8.768317147374146e-11
133,8.83474379243001e-11
134,8.901170437485875e-11
135,8.96759708254174e-11
136,9.034023727597604e-11
137,9.100450372653468e-11
138,9.166877017709333e-11
139,9.233303662765197e-11
140,9.299730307821061e-11
141,9.366156952876926e-11
142,9.43258359793279e-11
143,9.499010242988655e-11
144,9.565436888044519e-11
145,9.631863533100383e-11
146,9.698290178156248e-11
147,9.764716823212112e-11
148,9.831143468267977e-11
149,9.897570113323841e-11
150,9.963996758379706e-11
151,1.003042340343557e-10
152,1.0096850048491434e-10
153,1.0163276693547299e-10
154,1.0229703338603163e-10
155,1.0296129983659028e-10
156,1.0362556628714892e-10
157,1.0428983273770756e-10
158,1.0495409918826621e-10
159,1.0561836563882485e-10
160,1.062826320893835e-10
161,1.0694689853994214e-10
162,1.0761116499050078e-10
163,1.0827543144105943e-10
164,1.0893969789161807e-10
165,1.0960396434217672e-10
166,1.1026823079273536e-10
167,1.10932497243294e-10
168,1.1159676369385265e-10
169,1.122610301444113e-10
170,1.1292529659496994e-10
171,1.1358956304552858e-10
172,1.1425382949608723e-10
173,1.1491809594664587e-10
174,1.1558236239720451e-10
175,1.1624662884776316e-10
176,1.169108952983218e-10
177,1.1757516174888046e-10
178,1.1823942819943912e-10
179,1.1890369464999777e-10
180,1.1956796110055643e-10
181,1.202322275511151e-10
182,1.2089649400167374e-10
183,1.215607604522324e-10
184,1.2222502690279106e-10
185,1.2288929335334972e-10
186,1.2355355980390837e-10
187,1.2421782625446703e-10
188,1.2488209270502569e-10
189,1.2554635915558434e-10
190,1.26210625606143e-10
191,1.2687489205670166e-10
192,1.2753915850726031e-10
193,1.2820342495781897e-10
194,1.2886769140837763e-10
195,1.2953195785893629e-10
196,1.3019622430949494e-10
197,1.308604907600536e-10
198,1.3152475721061226e-10
199,1.3218902366117091e-10
200,1.3285329011172957e-10
201,1.3351755656228823e-10
202,1.3418182301284689e-10
203,1.3484608946340554e-10
204,1.355103559139642e-10
205,1.3617462236452286e-10
206,1.3683888881508151e-10
207,1.3750315526564017e-10
208,1.3816742171619883e-10
209,1.3883168816675748e-10
210,1.3949595461731614e-10
211,1.401602210678748e-10
212,1.4082448751843346e-10
213,1.414887539689921e-10
214,1.4215302041955077e-10
215,1.4281728687010943e-10
216,1.4348155332066808e-10
217,1.4414581977122674e-10
218,1.448100862217854e-10
219,1.4547435267234405e-10
220,1.461386191229027e-10
221,1.4680288557346137e-10
222,1.4746715202402003e-10
223,1.4813141847457868e-10
224,1.4879568492513734e-10
225,1.49459951375696e-10
226,1.5012421782625465e-10
227,1.507884842768133e-10
228,1.5145275072737197e-10
229,1.5211701717793062e-10
230,1.5278128362848928e-10
231,1.5344555007904794e-10
232,1.541098165296066e-10
233,1.5477408298016525e-10
234,1.554383494307239e-10
235,1.5610261588128257e-10
236,1.5676688233184122e-10
237,1.5743114878239988e-10
238,1.5809541523295854e-10
239,1.587596816835172e-10
240,1.5942394813407585e-10
241,1.600882145846345e-10
242,1.6075248103519317e-10
243,1.6141674748575182e-10
244,1.6208101393631048e-10
245,1.6274528038686914e-10
246,1.634095468374278e-10
247,1.6407381328798645e-10
248,1.647380797385451e-10
249,1.6540234618910377e-10
250,1.6606661263966242e-10
251,1.6673087909022108e-10
252,1.6739514554077974e-10
253,1.680594119913384e-10
254,1.6872367844189705e-10
255,1.693879448924557e-10
256,1.7005221134301436e-10
257,1.7071647779357302e-10
258,1.7138074424413168e-10
259,1.7204501069469034e-10
260,1.72709277145249e-10
261,1.7337354359580765e-10
262,1.740378100463663e-10
263,1.7470207649692496e-10
264,1.7536634294748362e-10
265,1.7603060939804228e-10
266,1.7669487584860094e-10
267,1.773591422991596e-10
268,1.7802340874971825e-10
269,1.786876752002769e-10
270,1.7935194165083556e-10
271,1.8001620810139422e-10
272,1.8068047455195288e-10
273,1.8134474100251153e-10
274,1.820090074530702e-10
275,1.8267327390362885e-10
276,1.833375403541875e-10
277,1.8400180680474616e-10
278,1.8466607325530482e-10
279,1.8533033970586348e-10
280,1.8599460615642213e-10
281,1.866588726069808e-10
282,1.8732313905753945e-10
283,1.879874055080981e-10
284,1.8865167195865676e-10
285,1.8931593840921542e-10
286,1.8998020485977408e-10
287,1.9064447131033273e-10
288,1.913087377608914e-10
289,1.9197300421145005e-10
290,1.926372706620087e-10
291,1.9330153711256736e-10
292,1.9396580356312602e-10
293,1.9463007001368468e-10
294,1.9529433646424333e-10
295,1.95958602914802e-10
296,1.9662286936536065e-10
297,1.972871358159193e-10
298,1.9795140226647796e-10
299,1.9861566871703662e-10
300,1.9927993516759527e-10
301,1.9994420161815393e-10
302,2.006084680687126e-10
303,2.0127273451927125e-10
304,2.019370009698299e-10
305,2.0260126742038856e-10
306,2.0326553387094722e-10
307,2.0392980032150587e-10
308,2.0459406677206453e-10
309,2.052583332226232e-10
310,2.0592259967318184e-10
311,2.065868661237405e-10
312,2.0725113257429916e-10
313,2.0791539902485782e-10
314,2.0857966547541647e-10
315,2.0924393192597513e-10
316,2.0990819837653379e-10
317,2.1057246482709244e-10
318,2.112367312776511e-10
319,2.1190099772820976e-10
320,2.1256526417876841e-10
321,2.1322953062932707e-10
322,2.1389379707988573e-10
323,2.1455806353044439e-10
324,2.1522232998100304e-10
325,2.158865964315617e-10
326,2.1655086288212036e-10
327,2.1721512933267901e-10
328,2.1787939578323767e-10
329,2.1854366223379633e-10
330,2.1920792868435499e-10
331,2.1987219513491364e-10
332,2.205364615854723e-10
333,2.2120072803603096e-10
334,2.2186499448658961e-10
335,2.2252926093714827e-10
336,2.2319352738770693e-10
337,2.2385779383826558e-10
338,2.2452206028882424e-10
339,2.251863267393829e-10
340,2.2585059318994156e-10
341,2.265148596405002e-10
342,2.2717912609105887e-10
343,2.2784339254161753e-10
344,2.2850765899217618e-10
345,2.2917192544273484e-10
346,2.298361918932935e-10
347,2.3050045834385215e-10
348,2.311647247944108e-10
349,2.3182899124496947e-10
350,2.3249325769552813e-10
351,2.3315752414608676e-10
352,2.338217905966454e-10
353,2.3448605704720407e-10
354,2.3515032349776273e-10
355,2.358145899483214e-10
356,2.3647885639888004e-10
357,2.371431228494387e-10
358,2.3780738929999736e-10
359,2.38471655750556e-10
360,2.3913592220111467e-10
361,2.3980018865167333e-10
362,2.40464455102232e-10
363,2.4112872155279064e-10
364,2.417929880033493e-10
365,2.4245725445390796e-10
366,2.431215209044666e-10
367,2.4378578735502527e-10
368,2.4445005380558393e-10
369,2.451143202561426e-10
370,2.4577858670670124e-10
371,2.464428531572599e-10
372,2.4710711960781855e-10
373,2.477713860583772e-10
374,2.4843565250893587e-10
375,2.490999189594945e-10
376,2.497641854100532e-10
377,2.5042845186061184e-10
378,2.510927183111705e-10
379,2.5175698476172915e-10
380,2.524212512122878e-10
381,2.5308551766284647e-10
382,2.537497841134051e-10
383,2.544140505639638e-10
384,2.5507831701452244e-10
385,2.557425834650811e-10
386,2.5640684991563975e-10
387,2.570711163661984e-10
388,2.5773538281675707e-10
389,2.583996492673157e-10
390,2.590639157178744e-10
391,2.5972818216843304e-10
392,2.603924486189917e-10
393,2.6105671506955035e-10
394,2.61720981520109e-10
395,2.6238524797066767e-10
396,2.630495144212263e-10
397,2.63713780871785e-10
398,2.6437804732234364e-10
399,2.650423137729023e-10
400,2.6570658022346095e-10
401,2.663708466740196e-10
402,2.6703511312457827e-10
403,2.676993795751369e-10
404,2.683636460256956e-10
405,2.6902791247625424e-10
406,2.696921789268129e-10
407,2.7035644537737155e-10
408,2.710207118279302e-10
409,2.7168497827848886e-10
410,2.723492447290475e-10
411,2.730135111796062e-10
412,2.7367777763016484e-10
413,2.743420440807235e-10
414,2.7500631053128215e-10
415,2.756705769818408e-10
416,2.7633484343239946e-10
417,2.769991098829581e-10
418,2.776633763335168e-10
419,2.7832764278407544e-10
420,2.789919092346341e-10
421,2.7965617568519275e-10
422,2.803204421357514e-10
423,2.8098470858631006e-10
424,2.816489750368687e-10
425,2.823132414874274e-10
426,2.8297750793798603e-10
427,2.836417743885447e-10
428,2.8430604083910335e-10
429,2.84970307289662e-10
430,2.8563457374022066e-10
431,2.862988401907793e-10
432,2.86963106641338e-10
433,2.8762737309189663e-10
434,2.882916395424553e-10
435,2.8895590599301395e-10
436,2.896201724435726e-10
437,2.9028443889413126e-10
438,2.909487053446899e-10
439,2.916129717952486e-10
440,2.9227723824580723e-10
441,2.929415046963659e-10
442,2.9360577114692455e-10
443,2.942700375974832e-10
444,2.9493430404804186e-10
445,2.955985704986005e-10
446,2.962628369491592e-10
447,2.9692710339971783e-10
448,2.975913698502765e-10
449,2.9825563630083515e-10
450,2.989199027513938e-10
451,2.9958416920195246e-10
452,3.002484356525111e-10
453,3.009127021030698e-10
454,3.0157696855362843e-10
455,3.022412350041871e-10
456,3.0290550145474575e-10
457,3.035697679053044e-10
458,3.0423403435586306e-10
459,3.048983008064217e-10
460,3.0556256725698037e-10
461,3.0622683370753903e-10
462,3.068911001580977e-10
463,3.0755536660865634e-10
464,3.08219633059215e-10
465,3.0888389950977366e-10
466,3.095481659603323e-10
467,3.1021243241089097e-10
468,3.1087669886144963e-10
469,3.115409653120083e-10
470,3.1220523176256694e-10
471,3.128694982131256e-10
472,3.1353376466368426e-10
473,3.141980311142429e-10
474,3.1486229756480157e-10
475,3.1552656401536023e-10
476,3.161908304659189e-10
477,3.1685509691647754e-10
478,3.175193633670362e-10
479,3.1818362981759486e-10
480,3.188478962681535e-10
481,3.1951216271871217e-10
482,3.2017642916927083e-10
483,3.208406956198295e-10
484,3.2150496207038814e-10
485,3.221692285209468e-10
486,3.2283349497150546e-10
487,3.234977614220641e-10
488,3.2416202787262277e-10
489,3.2482629432318143e-10
490,3.254905607737401e-10
491,3.2615482722429874e-10
492,3.268190936748574e-10
493,3.2748336012541606e-10
494,3.281476265759747e-10
495,3.2881189302653337e-10
496,3.2947615947709203e-10
497,3.301404259276507e-10
498,3.3080469237820934e-10
499,3.31468958828768e-10
500,3.3213322527932665e-10
501,3.327974917298853e-10
502,3.3346175818044397e-10
503,3.341260246310026e-10
504,3.347902910815613e-10
505,3.3545455753211994e-10
506,3.361188239826786e-10
507,3.3678309043323725e-10
508,3.374473568837959e-10
509,3.3811162333435457e-10
510,3.387758897849132e-10
511,3.394401562354719e-10
