(1.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.10667,-0.76194),(0.00000,0.00000),(-0.03198,0.22840),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.58996,0.08260),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(-0.82285,0.55870),(0.00000,0.00000),(0.01968,0.02640),(0.00000,0.00000),(0.01394,0.02223),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.06616,-0.00947),(0.00000,0.00000),(0.03395,0.03491),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.02783,0.03733),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(-0.03198,0.22840),(0.00000,0.00000),(0.10667,-0.76194),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.58996,0.08260),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.01968,0.02640),(0.00000,0.00000),(-0.79675,-0.06544),(0.00000,0.00000),(0.01968,0.02640),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.21292,-0.25123),(0.00000,0.00000),(-0.21292,-0.25123),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.23306,0.29582),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.27869,-0.39084),(0.00000,0.00000),(0.69464,0.47784),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.12660,-0.01772),(0.00000,0.00000),(0.10167,0.02741),(0.00000,0.00000),(-0.11983,0.08394),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.03727,0.03416),(0.00000,0.00000),(-0.07080,0.04818),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.01394,0.02223),(0.00000,0.00000),(0.01968,0.02640),(0.00000,0.00000),(-0.82285,0.55870),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.03395,0.03491),(0.00000,0.00000),(-0.06616,-0.00947),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.02783,0.03733),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.69464,0.47784),(0.00000,0.00000),(0.27869,-0.39084),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.11983,0.08394),(0.00000,0.00000),(0.10167,0.02741),(0.00000,0.00000),(0.12660,-0.01772),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.07080,0.04818),(0.00000,0.00000),(-0.03727,0.03416),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.31254,-0.92353),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.03153,-0.11153),(0.00000,0.00000),(0.03153,-0.11153),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(-0.00740,-0.10371),(0.00000,0.00000),(0.00559,-0.02984),(0.00000,0.00000),(-0.00740,-0.10371),(0.00000,0.00000),(0.00000,0.00000)
(0.00000,0.00000),(0.58996,0.08260),(0.00000,0.00000),(0.58996,0.08260),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.07470,-0.53354),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000),(0.00000,0.00000)
