1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.98922,0.00108,0.00069,0.00447,0.00237,0.00217
0.96727,0.00149,0.00330,0.02218,0.00278,0.00299
0.95371,0.00021,0.00865,0.03690,0.00011,0.00042
0.95621,0.00076,0.01638,0.02359,0.00155,0.00151
0.96360,0.00186,0.02512,0.00356,0.00214,0.00371
0.95913,0.00065,0.03457,0.00383,0.00052,0.00130
0.93856,0.00013,0.04609,0.01155,0.00342,0.00025
0.91348,0.00134,0.06061,0.01773,0.00417,0.00267
0.89646,0.00089,0.07704,0.02343,0.00040,0.00178
0.88673,0.00010,0.09371,0.01585,0.00343,0.00019
0.87312,0.00147,0.11091,0.00360,0.00795,0.00295
0.84881,0.00179,0.13129,0.01006,0.00446,0.00358
0.81938,0.00022,0.15643,0.02118,0.00234,0.00045
0.79554,0.00047,0.18333,0.01718,0.00255,0.00093
0.77967,0.00133,0.20680,0.00954,0.00001,0.00265
0.76225,0.00033,0.22602,0.00459,0.00615,0.00066
0.73329,0.00044,0.24676,0.00151,0.01712,0.00087
0.69463,0.00200,0.27580,0.01083,0.01275,0.00399
0.65809,0.00131,0.31290,0.02311,0.00196,0.00262
0.63238,0.00003,0.34945,0.01740,0.00068,0.00005
0.61395,0.00092,0.37699,0.00425,0.00206,0.00184
0.59137,0.00108,0.39706,0.00013,0.00820,0.00216
0.55793,0.00003,0.42008,0.00107,0.02083,0.00006
0.51828,0.00102,0.45361,0.00665,0.01841,0.00204
0.48203,0.00206,0.49393,0.01458,0.00329,0.00412
0.45319,0.00066,0.53021,0.01198,0.00262,0.00132
0.42767,0.00021,0.55666,0.00391,0.01113,0.00042
0.39970,0.00132,0.57918,0.00345,0.01370,0.00264
0.36842,0.00070,0.60799,0.00466,0.01685,0.00139
0.33747,0.00007,0.64445,0.00339,0.01446,0.00015
0.30927,0.00153,0.67903,0.00429,0.00281,0.00306
0.28193,0.00163,0.70323,0.00351,0.00644,0.00326
0.25284,0.00018,0.72052,0.00228,0.02382,0.00036
0.22315,0.00075,0.74319,0.00672,0.02471,0.00149
0.19675,0.00151,0.77785,0.00817,0.01269,0.00302
0.17553,0.00031,0.81588,0.00261,0.00507,0.00061
